ID,f1KanzleiNummer,Niederlassung,Strasse,Hausnr,StrasseZusatz,PLZ,Ort,OrtZusatz,eMail,Vertragsart,ETAXBeraternummer,LohnBeraternummer,reweTestkanzlei,SageAccEdition,VirtuellesETAX,ETLNummerStammkanzlei,NameStammkanzlei,OrtStammkanzlei,Bemerkung,DatenOK,BeitragMonatlich,BeitragBerechnetJahr,BeitragMonatlichReduziert,BeitragBerechnetJahrReduziert,StartDatum,KuendigungDatum,AusgesetztBis,SCSBereich
98,8042,Chemnitz,Weststraße,21,,09112,Chemnitz,,chemnitz@felix1.de,Alternativvertrag,58042,98042,WAHR,FALSCH,Nein,4610,B&P Chemnitz,Chemnitz,,FALSCH,191,"2291,52",,,01.12.2014,,,Erfurt
99,8052,Dortmund - Hoher Wall,Hoher Wall,5,- An der Thier- Galerie -,44137,Dortmund,,aurin-dortmund@felix1.de,Alternativvertrag,58052,98052,WAHR,FALSCH,Nein,1107,"Aurin, Heiland & Kollegen",Dortmund,"ab 01.01.2016 reguläre Gebühren von 636,54 €",FALSCH,637,"7638,48",,,01.08.2014,,,Essen
100,8055,Marsberg,Hauptstraße,17,,34431,Marsberg,,marsberg@felix1.de,Alternativvertrag,58055,98055,FALSCH,FALSCH,Nein,1100,ETL Aurin & Kollegen Marsberg,Marsberg,,FALSCH,191,"2291,52",,,01.08.2014,31-Okt-15,,Essen
101,8057,Waren (Müritz),Richterstraße,18a,,17192,Waren (Müritz),,schmidt-waren@felix1.de,Alternativvertrag,58057,98057,FALSCH,FALSCH,Nein,4322,S&P Waren,Waren (Müritz),keine Kapazitäten (WVL Mitte 2016),FALSCH,191,"2291,52",,,01.08.2014,,,Neubrandenburg
102,8060,Potsdam - Alt Nowawes,Alt Nowawes,67,,14482,Potsdam,,dietrich-bille-potsdam@felix1.de,Alternativvertrag,58060,98060,FALSCH,FALSCH,Nein,621,ETL Dr.Dietrich & Bille Potsdam,Potsdam,,FALSCH,191,"2291,52",,,01.07.2014,31-Jan-16,,Berlin
103,8061,Wettenberg,Im Westpark,3,,35435,Wettenberg,,wettenberg@felix1.de,Standardvertrag,58061,98061,FALSCH,FALSCH,Nein,1112,ETL Linneborn&Höbel Wettenberg,Wettenberg,,FALSCH,637,"7638,48",,,01.07.2014,,,Essen
104,8063,Plauen,Hradschin,10,,08523,Plauen,,plauen@felix1.de,Alternativvertrag,58063,98063,FALSCH,FALSCH,Nein,4140,F&P Plauen,Plauen,,FALSCH,191,"2291,52",,,01.07.2014,,,Erfurt
105,8064,Kassel,Wilhelmsstraße,2,,34117,Kassel,,kassel@felix1.de,Standardvertrag,58064,98064,FALSCH,FALSCH,Nein,,ADVISA Kassel,Kassel,,FALSCH,637,"7638,48",,,01.07.2014,31-Jan-16,,Essen
106,8067,Meiningen - Neu-Ulmer Straße,Neu-Ulmer Straße,41,,98617,Meiningen,,buerglen-meiningen@felix1.de,Alternativvertrag,58067,98067,FALSCH,FALSCH,Nein,4711,K&P Meiningen,Meiningen,,FALSCH,95,"1145,76",,,01.07.2014,,,Erfurt
107,8069,Cottbus - Straße der Jugend,Straße der Jugend,113,,03046,Cottbus,,gruenert-cottbus@felix1.de,Alternativvertrag,58069,98069,WAHR,FALSCH,Nein,4602,B&P Cottbus,Cottbus,,FALSCH,191,"2291,52",,,01.07.2014,,,Berlin
108,8070,Zwickau - Moritzstraße,Moritzstraße,35,,08056,Zwickau,,pech-zwickau@felix1.de,Standardvertrag,58070,98070,FALSCH,FALSCH,Nein,2571,ADVISA Zwickau,Zwickau,,FALSCH,637,"7638,48",,,01.07.2014,,,Erfurt
109,8071,Schwarzenberg /Erzgeb.,Straße des 18. März,2,,08340,Schwarzenberg /Erzgeb.,,schwarzenberg@felix1.de,Alternativvertrag,58071,98071,FALSCH,FALSCH,Nein,4159,F&P Schwarzenberg,Schwarzenberg /Erzgeb.,,FALSCH,191,"2291,52",,,01.07.2014,,,Erfurt
110,8074,Lüdinghausen,Telgengarten,31,,59348,Lüdinghausen,,luedinghausen@felix1.de,Standardvertrag,58074,98074,FALSCH,FALSCH,Nein,1161,ETL Böcker&Collegen Lüdinghausen,Lüdinghausen,,FALSCH,637,"7638,48",,,01.07.2014,,,Essen
111,8075,Cottbus - Rudolf-Breitscheid-Straße,Rudolf-Breitscheid-Straße,2,,03046,Cottbus,,voigt-cottbus@felix1.de,Standardvertrag,58075,98075,FALSCH,FALSCH,Nein,4308,S&P Cottbus,Cottbus,,FALSCH,637,"7638,48",,,01.07.2014,,,Berlin
112,8076,Cottbus - Burgstraße,Burgstraße,10,/ Schloßkirchstraße,03046,Cottbus,,peinelt-cottbus@felix1.de,Alternativvertrag,58076,98076,FALSCH,FALSCH,Nein,4505,M&P Cottbus,Cottbus,,FALSCH,191,"2291,52",,,01.07.2014,,,Berlin
113,8077,Halle (Saale) - Leipziger Straße,Leipziger Straße,87-92,- Im Ritterhaus -,06108,Halle (Saale),,schossland-halle@felix1.de,Standardvertrag,58077,98077,FALSCH,FALSCH,Nein,4603,B&P Halle,Halle (Saale),,FALSCH,637,"7638,48",,,01.07.2014,31-Jan-16,,Berlin
114,8082,Mayen,Marktplatz,24,,56727,Mayen,,beyer-mayen@felix1.de,Standardvertrag,58082,98082,FALSCH,FALSCH,JA,1882,Beyer & Kollegen GmbH Mayen,Mayen,Fr. Beyer möchte Vertrag ruhen lassen; keine Mandatsvermittlung; WvL Gespräch MM 1.2.17,FALSCH,637,"7638,48",,,01.07.2014,,31.01.2017,Essen
115,8083,Lübz,Parchimer Straße,3-5,,19386,Lübz,,luebz@felix1.de,Alternativvertrag,58083,98083,WAHR,FALSCH,Nein,4316,S&P Lübz,Lübz,,FALSCH,191,"2291,52",,,01.08.2014,,,Neubrandenburg
116,8085,Gmund a. Tegernsee,Miesbacher Straße,7,,83703,Gmund a. Tegernsee,,gmund@felix1.de,Standardvertrag,58085,98085,WAHR,FALSCH,Nein,1240,Baumann Gmund,Gmund a. Tegernsee,,FALSCH,637,"7638,48",,,01.07.2014,,,Essen
117,8090,Bad Freienwalde (Oder),Königstraße,39-40,,16259,Bad Freienwalde (Oder),,bad-freienwalde@felix1.de,Alternativvertrag,58090,98090,FALSCH,FALSCH,Nein,4114,F&P Bad Freienwalde,Bad Freienwalde (Oder),hat gekündigt,FALSCH,95,"1145,76",,,01.07.2014,31-Jul-16,,Berlin
118,8092,Ziesar,Frauentor,11,,14793,Ziesar,,ziesar@felix1.de,Alternativvertrag,58092,98092,FALSCH,FALSCH,Nein,2590,Szibalski&Koll. Ziesar,Ziesar,Grundgebühren ausgesetzt bis Sep 2016,FALSCH,191,"2291,52",,,01.07.2014,,30.08.2016,Berlin
119,8094,Plau,Steinstraße,56,,19395,Plau,,plau@felix1.de,Alternativvertrag,58094,98094,FALSCH,FALSCH,Nein,4327,S&P Plau am See,Plau,keine Mandatsverteilung (WVL Mitte 2016),FALSCH,191,"2291,52",,,01.07.2014,,,Neubrandenburg
120,8095,Magdeburg - Universitätsplatz,Universitätsplatz,10,,39104,Magdeburg,,uniplatz-magdeburg@felix1.de,Alternativvertrag,58095,98095,FALSCH,FALSCH,Nein,5516,ADMEDIO Magdeburg,Magdeburg,,FALSCH,191,"2291,52",,,01.07.2014,,,Berlin
121,8096,Lutherstadt Wittenberg - Berliner Straße 7,Berliner Straße,7,,06886,Lutherstadt Wittenberg,,mueller-wittenberg@felix1.de,Alternativvertrag,58096,98096,WAHR,FALSCH,Nein,4928,RUB-DV Wittenberg,Lutherstadt Wittenberg,,FALSCH,191,"2291,52",,,01.07.2014,31-Jan-16,,Berlin
122,8097,Ludwigslust,Schloßstraße,51,,19288,Ludwigslust,,pawlowski-ludwigslust@felix1.de,Alternativvertrag,58097,98097,FALSCH,FALSCH,Nein,,KSP Ludwigslust,Ludwigslust,keine Kapazitäten für neue Mandanten (WVL Mitte 2016),FALSCH,191,"2291,52",,,01.07.2014,,,Neubrandenburg
123,8098,Hamm,Hammer Straße,146,,59075,Hamm,,hamm@felix1.de,Alternativvertrag,58098,98098,FALSCH,FALSCH,Nein,2520,ETL Hohaus Hamm,Hamm,Bearbeiterin felix: Frau Lilienbecker,FALSCH,191,"2291,52",,,01.07.2014,,,Essen
124,8099,Hagenow,Söringstraße,3,,19230,Hagenow,,winkler-hagenow@felix1.de,Alternativvertrag,58099,98099,FALSCH,FALSCH,Nein,4039,F&P Hagenow,Hagenow,bis Mitte 2016 keine Mandanten; dann nochmals telefonieren (AB),FALSCH,191,"2291,52",,,01.07.2014,,,Neubrandenburg
125,8101,Bielefeld - Am Stadtholz,Am Stadtholz,24-26,,33609,Bielefeld,,hesse-bielefeld@felix1.de,Standardvertrag,58101,98101,FALSCH,FALSCH,Nein,6530,HESSE & ADVISA Bielefeld,Bielefeld,"14.03.2016: Aussetzen der Gebühr 07-12/2016
keine Mdt.-Vermittl. bis Jahresende, Umstellung der Fibus auf FKC",FALSCH,637,"7638,48",,,01.07.2014,,,Essen
126,8102,Schleiz,Bahnhofstraße,27,,07907,Schleiz,,schleiz@felix1.de,Alternativvertrag,58102,98102,WAHR,FALSCH,Nein,4078,F&P Schleiz,Schleiz,,FALSCH,95,"1145,76",,,01.07.2014,31-Aug-16,,Erfurt
127,8105,Nordhausen,Käthe-Kollwitz-Straße,9,,99734,Nordhausen,,otte-nordhausen@felix1.de,Standardvertrag,58105,98105,FALSCH,FALSCH,Nein,4065,F&P Nordhausen,Nordhausen,,FALSCH,637,"7638,48",,,01.07.2014,,,Berlin
128,8106,Magdeburg - Halberstädter Straße,Halberstädter Straße,140,,39112,Magdeburg,,fischbeck-magdeburg@felix1.de,Standardvertrag,58106,98106,FALSCH,FALSCH,Nein,4056,F&P Magdeburg,Magdeburg,,FALSCH,637,"7638,48",,,01.07.2014,,,Berlin
129,8107,Magdeburg - Sternstraße,Sternstraße,33,,39104,Magdeburg,,weber-magdeburg@felix1.de,Standardvertrag,58107,98107,FALSCH,FALSCH,Nein,4394,S&P Magdeburg (EKW),Magdeburg,,FALSCH,318,"3819,24",,,01.07.2014,31-Dez-15,,Berlin
130,8116,Halle (Saale) - Willy-Brandt-Straße,August-Bebel-Straße,23,,06108,Halle (Saale),,grimm-halle@felix1.de,Standardvertrag,58116,98116,FALSCH,FALSCH,Nein,5213,Fu&P Halle,Halle (Saale),,FALSCH,637,"7638,48",,,01.07.2014,,,Berlin
131,8119,Zwickau - Spiegelstraße,Spiegelstraße,65,,08056,Zwickau,,richter-zwickau@felix1.de,Alternativvertrag,58119,98119,FALSCH,FALSCH,Nein,4407,H&P Zwickau,Zwickau,,FALSCH,191,"2291,52",,,01.07.2014,,,Erfurt
132,8121,Suhl - Schleusinger Straße,Schleusinger Straße,10,,98527,Suhl,,hellberg-suhl@felix1.de,Alternativvertrag,58121,98121,FALSCH,FALSCH,Nein,5308,AS-STBG Suhl,Suhl,,FALSCH,191,"2291,52",,,01.07.2014,,,Erfurt
133,8122,Seelow,Breite Straße,1,,15306,Seelow,,seelow@felix1.de,Alternativvertrag,58122,98122,FALSCH,FALSCH,Nein,1942,SKG & Koll. Frankfurt (Oder),Seelow,,FALSCH,191,"2291,52",,,01.07.2014,,,Berlin
134,8125,Mainz-Kastel,Kurt-Hebach-Straße,5,,55252,Mainz-Kastel,,mainz-kastel@felix1.de,Standardvertrag,58125,98125,WAHR,FALSCH,Nein,2380,ETL-Krieger & Koll. Mainz-Kastel,Mainz-Kastel,,FALSCH,637,"7638,48",,,01.07.2014,,,Essen
135,8127,Hoyerswerda,Neumarkt,1,,02977,Hoyerswerda,,habenicht-hoyerswerda@felix1.de,Alternativvertrag,58127,98127,FALSCH,FALSCH,Nein,4045,F&P Hoyerswerda,Hoyerswerda,,FALSCH,191,"2291,52",,,01.07.2014,29-Feb-16,,Erfurt
136,8129,Eisenach - Rittergasse,Rittergasse,3,,99817,Eisenach,,frenzel-eisenach@felix1.de,Alternativvertrag,58129,98129,WAHR,FALSCH,Nein,4132,F&P Eisenach,Eisenach,,FALSCH,191,"2291,52",,,01.07.2014,,,Erfurt
137,8130,Dresden - Bertolt-Brecht-Allee,Bertolt-Brecht-Allee,24,,01309,Dresden,,scheckel-dresden@felix1.de,Alternativvertrag,58130,98130,FALSCH,FALSCH,Nein,1750,ADVISITAX GmbH Dresden,Dresden,Verteilung nur Mandate aus der Umgebung mit mind. 300.000 Jahresumsatz,FALSCH,191,"2291,52",,,01.07.2014,,30.06.2016,Erfurt
138,8131,Delitzsch,Bitterfelder Straße,20,,04509,Delitzsch,,delitzsch@felix1.de,Standardvertrag,58131,98131,WAHR,FALSCH,Nein,4048,F&P Delitzsch,Delitzsch,"durch Kündigung der Mandanten auf ""Null"" gerutscht",FALSCH,637,"7638,48",,,01.07.2014,,,Berlin
139,8134,Braunschweig - Fallersleber-Tor-Wall,Fallersleber-Tor-Wall,2,,38100,Braunschweig,,wingens-braunschweig@felix1.de,Standardvertrag,58134,98134,FALSCH,FALSCH,Nein,1883,Tischer&Stöber Braunschweig,Braunschweig,,FALSCH,637,"7638,48",,,01.07.2014,31-Mai-16,,Essen
140,8139,Berlin - Spittelmarkt,Spittelmarkt,12,- 7. Etage -,10117,Berlin,,krauss-berlin@felix1.de,Standardvertrag,58139,98139,WAHR,FALSCH,Nein,4601,B&P Berlin,Berlin,,FALSCH,637,"7638,48",,,01.07.2014,,,Berlin
141,8140,Bautzen,Tuchmacherstraße,46,,02625,Bautzen,,kledisch-bautzen@felix1.de,Alternativvertrag,58140,98140,FALSCH,FALSCH,Nein,4352,S&P Bautzen,Bautzen,,FALSCH,191,"2291,52",,,01.07.2014,31-Mai-16,,Erfurt
142,8141,Artern /Unstrut,Alte Poststraße,10,,06556,Artern /Unstrut,,artern@felix1.de,Standardvertrag,58141,98141,WAHR,FALSCH,Nein,5214,Fu&P Artern,Artern /Unstrut,,FALSCH,318,"3819,24",,,01.07.2014,,,Erfurt
143,8151,Köln - Kaiser-Wilhelm-Ring,Kaiser-Wilhelm-Ring,0,,50672,Köln,,johannes-koeln@felix1.de,Standardvertrag,58151,98151,FALSCH,FALSCH,Nein,1979,ETL Röger & Johannes Köln,Köln,,FALSCH,637,"7638,48",,,01.07.2014,29-Feb-16,,Essen
144,8155,Herne,Westring,293,,44629,Herne,,herne@felix1.de,Alternativvertrag,58155,98155,FALSCH,FALSCH,Ja,1800,ETL ADVISA Emschertax Castrop-Rauxel,Castrop-Rauxel,,FALSCH,191,"2291,52",,,01.07.2014,,,Essen
145,8156,Jena,Hainstraße,1a,,07745,Jena,,hilbert-jena@felix1.de,Alternativvertrag,58156,98156,FALSCH,FALSCH,Nein,5401,ADVITAX Jena,Jena,,FALSCH,191,"2291,52",,,01.07.2014,,,Erfurt
146,8159,Kirchberg,Lengenfelder Straße,8,,08107,Kirchberg,,kirchberg@felix1.de,Alternativvertrag,58159,98159,WAHR,FALSCH,Nein,4420,H&P Kirchberg,Kirchberg,,FALSCH,191,"2291,52",,,01.07.2014,,,Erfurt
147,8170,Brandenburg an der Havel,Neuendorfer Straße,90b,,14770,Brandenburg an der Havel,,brandenburg@felix1.de,Alternativvertrag,58170,98170,FALSCH,FALSCH,Nein,4136,F&P Brandenburg,Brandenburg an der Havel,,FALSCH,0,0,,,01.07.2014,31-Okt-15,,Berlin
148,8171,Mülheim an der Ruhr,Friedenstraße,2a,,45470,Mülheim an der Ruhr,,muelheim@felix1.de,Standardvertrag,58171,98171,FALSCH,FALSCH,Ja,1090,Schwarz & P Mülheim (Ruhr),Mülheim an der Ruhr,,FALSCH,0,0,,,01.07.2014,31-Okt-15,,Essen
149,8176,Lindlar,Hauptstraße,52,,51789,Lindlar,,lindlar@felix1.de,Standardvertrag,58176,98176,FALSCH,FALSCH,Nein,1101,ETL-Pütz & Kollegen Lindlar,Lindlar,,FALSCH,637,"7638,48",,,01.07.2014,,,Essen
150,8177,Herten,Kurt-Schumacher-Straße,62,,45699,Herten,,herten@felix1.de,Standardvertrag,58177,98177,FALSCH,FALSCH,Nein,1932,ETL Witt&Kollegen Herten,Herten,"50,00 € (Herabsetzung der Standard-Gebühr auf 50 EUR von 10/2015 bis 09/2016)",FALSCH,50,600,,,01.07.2014,,,Essen
151,8178,Frankfurt (Oder) - Walter-Korsing-Straße,Walter-Korsing-Straße,29,,15230,Frankfurt (Oder),,schrank-frankfurt-oder@felix1.de,Alternativvertrag,58178,98178,FALSCH,FALSCH,Nein,1942,SKG & Kollegen Frankfurt (Oder),Frankfurt (Oder),,FALSCH,95,"1145,76",,,01.07.2014,31-Aug-16,,Berlin
152,8183,Erfurt - Windthorststraße,Windthorststraße,18,,99096,Erfurt,,grabe-erfurt@felix1.de,Standardvertrag,58183,98183,FALSCH,FALSCH,Nein,5005,SCS-AG Erfurt,Erfurt,,FALSCH,637,"7638,48",,,01.07.2014,,,Erfurt
153,8186,Eisenhüttenstadt,Königstraße,13,,15890,Eisenhüttenstadt,,kleemann-eisenhuettenstadt@felix1.de,Alternativvertrag,58186,98186,FALSCH,FALSCH,Nein,4015,F&P Eisenhüttenstadt,Eisenhüttenstadt,,FALSCH,191,"2291,52",,,01.08.2014,,,Berlin
154,8189,Schmalkalden,Steinerne Wiese,12a,,98574,Schmalkalden,,schmalkalden@felix1.de,Alternativvertrag,58189,98189,FALSCH,FALSCH,Nein,6620,Ernst & C Schmalkalden,Schmalkalden,,FALSCH,191,"2291,52",,,01.07.2014,,,Erfurt
155,8191,Gera,Ebelingstraße,10,,07545,Gera,,becker-gera@felix1.de,Alternativvertrag,58191,98191,FALSCH,FALSCH,Nein,4220,F&P Gera,Gera,,FALSCH,191,"2291,52",,,01.07.2014,,,Erfurt
156,8192,Thamsbrück,Sundhäuser Weg,10,,99947,Thamsbrück,,thamsbrueck@felix1.de,Alternativvertrag,58192,98192,WAHR,FALSCH,Nein,5314,"AS - Steuerberatungsgesellschaft mbH
Niederlassung Thamsbrück",Thamsbrück,,FALSCH,95,"1145,76",,,01.07.2014,,,Erfurt
157,8193,Erfurt - Pförtchenstraße,Pförtchenstraße,1,,99096,Erfurt,,erfurt@felix1.de,Alternativvertrag,58193,98193,WAHR,FALSCH,Nein,4017,F&P Erfurt,Erfurt,,FALSCH,191,"2291,52",,,01.07.2014,31-Okt-16,,Erfurt
158,8195,Zittau,Heydenreichstraße,1,,02763,Zittau,,zittau@felix1.de,Alternativvertrag,58195,98195,FALSCH,FALSCH,Nein,4111,F&P Zittau,Zittau,,FALSCH,191,"2291,52",,,01.07.2014,31-Dez-15,,Erfurt
159,8197,Leinefelde-Worbis,Bahnhofstraße,44,,37327,Leinefelde-Worbis,OT Leinefelde,stolze-leinefelde@felix1.de,Alternativvertrag,58197,98197,WAHR,FALSCH,Nein,4051,F&P Leinefelde,Leinefelde-Worbis OT Leinefelde,,FALSCH,191,"2291,52",,,01.07.2014,,,Berlin
160,8136,Berlin,Kurfürstendamm,45,,10719,Berlin - Charlottenburg,,voigt-berlin@felix1.de,Standardvertrag,58136,98136,FALSCH,FALSCH,Nein,5617,ADVISITAX Berlin-Charlottenburg,Berlin,Freistellung von Grundgebühren von 09/15 bis 12/15,FALSCH,0,0,,,01.07.2014,31-Dez-15,,Berlin
161,8022,Rostock-Elmenhorst,Feldweg,7,,18107,Rostock-Elmenhorst,,rostock-elmenhorst@felix1.de,Alternativvertrag,58022,98022,FALSCH,FALSCH,Nein,6770,Dr. Strehl Rostock-Elmenhorst,Rostock-Elmenhorst,,FALSCH,191,"2291,52",,,01.01.2016,30-Jun-16,,Neubrandenburg
162,8113,Mainz,Weberstraße,1,,55130,Mainz,,gaeckler-mainz@felix1.de,Standardvertrag,58113,98113,FALSCH,FALSCH,Nein,1092,ETL WR & Kollegen Mainz,Mainz,,FALSCH,637,"7638,48",,,01.07.2014,31-Aug-15,,Essen
163,8150,Hannover,Podbielskistraße,333,,30659,Hannover,,foerster-hannover@felix1.de,Standardvertrag,58150,98150,FALSCH,FALSCH,Nein,1360,C.Förster&Koll. Hannover,Hannover,"gekündigt, 31.7.15, RS MM",FALSCH,637,"7638,48",,,01.07.2014,31-Jul-15,,Essen
164,8062,Schwarzenbek,Seestern-Pauly-Straße,15,,21493,Schwarzenbek,,schwarzenbek@felix1.de,Standardvertrag,58062,98062,FALSCH,FALSCH,Nein,280,Bicher und P Schwarzenbek,Schwarzenbek,,FALSCH,637,"7638,48",,,01.07.2014,30-Jun-15,,Essen
165,8072,Schöneiche,Berliner Straße,2,,15566,Schöneiche,,schoeneiche@felix1.de,Standardvertrag,58072,98072,FALSCH,FALSCH,Nein,4417,H&P Schöneiche,Schöneiche,,FALSCH,637,"7638,48",,,01.07.2014,30-Jun-15,,Berlin
166,8073,Salzwedel,Burgstraße,77,,29410,Salzwedel,,salzwedel@felix1.de,Alternativvertrag,58073,98073,FALSCH,FALSCH,Nein,4128,F&P Salzwedel,Salzwedel,,FALSCH,95,"1145,76",,,01.07.2014,30-Jun-15,,Berlin
167,8080,Sangerhausen,Alte Promenade,45,,06526,Sangerhausen,,boettner-sangerhausen@felix1.de,Standardvertrag,58080,98080,FALSCH,FALSCH,Nein,4118,F&P Sangerhausen,Sangerhausen,,FALSCH,637,"7638,48",,,01.07.2014,30-Jun-15,,Berlin
168,8084,Stendal,Markt,9-10,,39576,Hansestadt Stendal,,stendal@felix1.de,Alternativvertrag,58084,98084,FALSCH,FALSCH,Nein,5312,AS-STBG Stendal,Stendal,,FALSCH,191,"2291,52",,,01.07.2014,30-Jun-15,,Berlin
169,8056,Großröhrsdorf,Rathausstraße,6,,01900,Großröhrsdorf,,grossroehrsdorf@felix1.de,Alternativvertrag,58056,98056,FALSCH,FALSCH,Nein,4143,F&P Großröhrsdorf,Großröhrsdorf,,FALSCH,191,"2291,52",,,01.07.2014,30-Apr-15,,Erfurt
170,8103,Sangerhausen,Bahnhofstraße,31,,06526,Sangerhausen,,koch-sangerhausen@felix1.de,Standardvertrag,58103,98103,FALSCH,FALSCH,Nein,5228,Fu&P Sangerhausen,Sangerhausen,,FALSCH,637,"7638,48",,,01.07.2014,31-Dez-14,,Berlin
171,8158,Gera,Heinrichstraße,48,,07545,Gera,,dassler-gera@felix1.de,Alternativvertrag,58158,98158,FALSCH,FALSCH,Nein,4604,B&P Gera,Gera,,FALSCH,191,"2291,52",,,01.07.2014,31-Aug-15,,Erfurt
172,8174,Essen,Helbingstraße,104,,45128,Essen,,stiebling-essen@felix1.de,Standardvertrag,58174,98174,FALSCH,FALSCH,Nein,1889,Johannes&Stiebling Essen,Essen,,FALSCH,637,"7638,48",,,01.07.2014,31-Jul-15,,Essen
173,8172,Dülmen,Eichenhain,17,,48249,Dülmen,,duelmen@felix1.de,Standardvertrag,58172,98172,FALSCH,FALSCH,Nein,1862,RZ CONSULTA Dülmen,Dülmen,,FALSCH,637,"7638,48",,,01.07.2014,31-Mrz-15,,Essen
174,8051,Großenhain,Mozartallee,141 B,,15558,Großenhain,,grossenhain@felix1.de,Standardvertrag,58051,98051,WAHR,FALSCH,Nein,4011,"Freund & Partner GmbH, Glaubitz",Glaubitz,,FALSCH,637,"7638,48",,,01.01.2015,,,Erfurt
175,8029,Freiberg,Frauensteiner Straße,49,,09599,Freiberg,,freiberg@felix1.de,Alternativvertrag,58029,98029,FALSCH,FALSCH,Nein,5109,"HOS
Steuerberatungsgesellschaft mbH",Freiberg,,WAHR,191,"2291,52",,,01.04.2016,,,Erfurt
176,8028,Troisdorf,Oberstraße,93,,53844,Troisdorf,,troisdorf@felix1.de,Standardvertrag,58028,98028,FALSCH,FALSCH,Nein,1218,ETL-Klein&Kollegen Troisdorf,Troisdorf,,FALSCH,637,"7638,48",,,1.9.2016,,,Essen
